,country,year,suicide_count,population,suicide_rate (%),health_expenditure
0,Albania,2000,54.0,2796300.0,0.0019311232700354038,..
1,Albania,2001,119.0,2799349.0,0.0042509883547924895,..
2,Albania,2002,133.0,2818839.0,0.004718254572183796,..
3,Albania,2003,124.0,2843929.0,0.004360165109607167,..
4,Albania,2004,146.0,2874991.0,0.005078276766779443,..
5,Albania,2005,0.0,2783320.0,0.0,..
6,Albania,2006,0.0,2780176.0,0.0,..
7,Albania,2007,124.0,2770344.0,0.0044759784344471296,..
8,Albania,2008,160.0,2757059.0,0.0058032853123563925,..
9,Albania,2009,0.0,2745735.0,0.0,..
10,Albania,2010,96.0,2736025.0,0.0035087398689704953,..
11,Antigua and Barbuda,2000,2.0,75326.0,0.002655125720202852,444.9394226
12,Antigua and Barbuda,2001,2.0,76497.0,0.002614481613658052,497.0965881
13,Antigua and Barbuda,2002,0.0,77588.0,0.0,512.317688
14,Antigua and Barbuda,2003,1.0,78658.0,0.0012713265020722624,569.6490479
15,Antigua and Barbuda,2004,2.0,79722.0,0.0025087177943353147,547.8710938
16,Antigua and Barbuda,2005,0.0,80809.0,0.0,569.3041992
17,Antigua and Barbuda,2006,0.0,81973.0,0.0,598.2730713
18,Antigua and Barbuda,2007,1.0,83131.0,0.0012029206914388134,675.7179565
19,Antigua and Barbuda,2008,0.0,84273.0,0.0,650.1051025
20,Antigua and Barbuda,2009,0.0,85405.0,0.0,575.2674561
21,Antigua and Barbuda,2012,0.0,88703.0,0.0,649.8314209
22,Antigua and Barbuda,2013,0.0,89779.0,0.0,660.6138306
23,Antigua and Barbuda,2014,0.0,90837.0,0.0,677.6029053
24,Antigua and Barbuda,2015,1.0,91889.0,0.0010882695426003113,639.5827026
25,Argentina,2000,2774.0,33585533.0,0.008259508640223158,705.1993408
26,Argentina,2001,3132.0,34010946.0,0.009208800013971973,671.52948
27,Argentina,2002,3162.0,34407507.0,0.00918985499298162,222.621994
28,Argentina,2003,3289.0,34785907.0,0.009454978419852616,260.769989
29,Argentina,2004,3121.0,35162945.0,0.00887582083923858,309.7401428
30,Argentina,2005,3058.0,35550617.0,0.008601819765884795,390.0584412
31,Argentina,2006,3108.0,35918886.0,0.008652829600561665,447.3611755
32,Argentina,2007,2946.0,36315492.0,0.008112240362873235,551.75
33,Argentina,2008,3059.0,36733520.0,0.008327543889069165,694.6824341
34,Argentina,2009,2884.0,37158001.0,0.007761450891828115,742.8430176
35,Argentina,2010,2943.0,37578454.0,0.007831615425158256,891.1377563
36,Argentina,2011,2912.0,38015739.0,0.0076599852497935125,1068.610596
37,Argentina,2012,3248.0,38441778.0,0.008449140932034933,1168.065796
