country,year,suicide_count,population,suicide_rate (%)
Albania,2000,54.0,2796300.0,0.001931123270035404
Albania,2001,119.0,2799349.0,0.004250988354792489
Albania,2002,133.0,2818839.0,0.004718254572183796
Albania,2003,124.0,2843929.0,0.004360165109607167
Albania,2004,146.0,2874991.0,0.005078276766779444
Albania,2005,0.0,2783320.0,0.0
Albania,2006,0.0,2780176.0,0.0
Albania,2007,124.0,2770344.0,0.0044759784344471296
Albania,2008,160.0,2757059.0,0.005803285312356392
Albania,2009,0.0,2745735.0,0.0
Albania,2010,96.0,2736025.0,0.0035087398689704953
Antigua and Barbuda,2000,2.0,75326.0,0.0026551257202028517
Antigua and Barbuda,2001,2.0,76497.0,0.002614481613658052
Antigua and Barbuda,2002,0.0,77588.0,0.0
Antigua and Barbuda,2003,1.0,78658.0,0.0012713265020722622
Antigua and Barbuda,2004,2.0,79722.0,0.002508717794335315
Antigua and Barbuda,2005,0.0,80809.0,0.0
Antigua and Barbuda,2006,0.0,81973.0,0.0
Antigua and Barbuda,2007,1.0,83131.0,0.0012029206914388134
Antigua and Barbuda,2008,0.0,84273.0,0.0
Antigua and Barbuda,2009,0.0,85405.0,0.0
Antigua and Barbuda,2012,0.0,88703.0,0.0
Antigua and Barbuda,2013,0.0,89779.0,0.0
Antigua and Barbuda,2014,0.0,90837.0,0.0
Antigua and Barbuda,2015,1.0,91889.0,0.0010882695426003113
Argentina,2000,2774.0,33585533.0,0.008259508640223158
Argentina,2001,3132.0,34010946.0,0.009208800013971973
Argentina,2002,3162.0,34407507.0,0.009189854992981618
Argentina,2003,3289.0,34785907.0,0.009454978419852616
Argentina,2004,3121.0,35162945.0,0.00887582083923858
Argentina,2005,3058.0,35550617.0,0.008601819765884795
Argentina,2006,3108.0,35918886.0,0.008652829600561665
Argentina,2007,2946.0,36315492.0,0.008112240362873235
Argentina,2008,3059.0,36733520.0,0.008327543889069165
Argentina,2009,2884.0,37158001.0,0.007761450891828115
Argentina,2010,2943.0,37578454.0,0.007831615425158256
Argentina,2011,2912.0,38015739.0,0.007659985249793513
Argentina,2012,3248.0,38441778.0,0.008449140932034933
Argentina,2013,2987.0,38859125.0,0.007686740244408489
Argentina,2014,3231.0,39276555.0,0.008226281556516349
Argentina,2015,3073.0,39699624.0,0.007740627467907504
Armenia,2000,61.0,3606500.0,0.0016913905448495772
Armenia,2001,60.0,3610516.0,0.0016618123282101506
Armenia,2002,74.0,3014844.0,0.0024545216933280793
Armenia,2003,59.0,3024366.0,0.0019508220896544929
Armenia,2006,78.0,2764396.0,0.0028215928542799223
Armenia,2007,71.0,2735313.0,0.0025956810061590757
Armenia,2008,63.0,3045391.0,0.0020686998812303576
Armenia,2009,53.0,2689695.0,0.0019704836421973494
Armenia,2010,73.0,2676225.0,0.002727722818522359
Armenia,2011,67.0,2670366.0,0.0025090193628888326
Armenia,2012,79.0,2814300.0,0.0028070923497850266
Armenia,2013,67.0,2810664.0,0.002383778352730885
Armenia,2014,58.0,2803029.0,0.0020691901510829893
Armenia,2015,74.0,2795335.0,0.0026472676799024087
Armenia,2016,67.0,2784119.0,0.0024065063310871413
Aruba,2000,10.0,83888.0,0.011920656112912455
Aruba,2001,4.0,86045.0,0.00464873031553257
