country,year,"number of suicides (per 100,000 people)",health expenditure (per capita)
Argentina,2006,8.652829600561665,447.3611755
Argentina,2007,8.112240362873235,551.75
Argentina,2008,8.327543889069165,694.6824341
Argentina,2009,7.761450891828115,742.8430176
Argentina,2010,7.831615425158256,891.1377562999999
Argentina,2011,7.659985249793513,1068.610596
Argentina,2012,8.449140932034933,1168.065796
Argentina,2013,7.6867402444084885,1206.932861
Argentina,2014,8.22628155651635,1089.5
Argentina,2015,7.740627467907505,1305.39502
Armenia,2006,2.8215928542799236,126.24470520000001
Armenia,2007,2.5956810061590763,172.5760803
Armenia,2008,2.0686998812303576,266.2564392
Armenia,2009,1.9704836421973493,252.7925262
Armenia,2010,2.7277228185223588,297.2298889
Armenia,2011,2.5090193628888326,330.6855774
Armenia,2012,2.807092349785026,336.5903625
Armenia,2013,2.3837783527308853,396.79110719999994
Armenia,2014,2.069190151082989,406.5928955
Armenia,2015,2.6472676799024093,366.04922489999996
Australia,2006,11.078406756603584,3177.460693
Australia,2007,11.294980397204275,3794.2517090000006
Australia,2008,11.635008443209028,4088.7780759999996
Australia,2009,11.383720169550696,3997.5371090000003
Australia,2010,11.608080317554865,4952.777344
Australia,2011,11.454890860079372,5876.865723
Australia,2012,12.14751661679044,6047.057617
Australia,2013,12.073973457628592,5838.413574
Australia,2014,13.184305231578831,5637.566895
Australia,2015,13.610131117224505,4887.800781
Austria,2006,16.481835860484622,3879.533203
Austria,2007,16.271441581346068,4472.84668
Austria,2008,15.98686124792404,5037.371582
Austria,2009,16.081754708191653,4909.23291
Austria,2010,15.862615692619656,4796.113281
Austria,2011,16.10977460574203,5161.058105
Austria,2012,15.88788630847701,4966.376465
Austria,2013,15.978484123315285,5233.853515999999
Austria,2014,16.14019615128793,5386.424805
Austria,2015,15.220114981824675,4610.966797
Belgium,2006,19.422441823513342,3474.4257810000004
Belgium,2007,18.51396563161934,3988.885986
Belgium,2008,19.7904136780568,4539.739746
Belgium,2009,19.78696136558932,4566.755371
Belgium,2010,19.713703746612413,4449.542969
Belgium,2011,20.163926542274808,4856.177734000001
Belgium,2012,19.401229785158673,4614.677734000001
Belgium,2013,18.002785254132352,4849.913574
Belgium,2014,17.950914882225362,4944.26123
Belgium,2015,17.572829826108993,4171.053223
Belize,2006,4.350818349378623,192.7100983
Belize,2007,3.0690497838238056,218.0575562
Belize,2008,4.097032631002619,226.36163330000002
Belize,2009,5.4310635108566965,246.519104
Belize,2010,5.285486758093842,250.305542
Belize,2011,11.314466745753649,254.42695619999998
Belize,2012,6.021154322185278,249.5245361
Belize,2013,5.557589706036197,266.280304
Belize,2014,7.673124880107423,273.1342163
Belize,2015,8.129191614426189,289.58398439999996
Brazil,2006,4.98223087186115,483.4282837
Brazil,2007,5.0515367419403265,599.8584595
Brazil,2008,5.174911559950044,704.0132446
Brazil,2009,5.2046685799197645,718.029541
Brazil,2010,5.1913312509133975,891.7641602
Brazil,2011,5.348029149710028,1025.490356
Brazil,2012,5.5471375625187855,950.9295043999999
Brazil,2013,5.608164078589363,974.4987183000001
Brazil,2014,5.616382114400553,1009.828674
Brazil,2015,5.8418390756235565,776.152832
Brunei Darussalam,2006,2.8743891922966367,654.7131958
Brunei Darussalam,2007,2.917884883605572,702.8585205
Brunei Darussalam,2008,2.58956291055362,788.9667969
Brunei Darussalam,2009,0.5676528689175995,741.5541992000001
