country,year,suicide_count,population,"number of suicides (per 100,000 people)",health expenditure (per capita)
Antigua and Barbuda,2000,2.0,75326.0,2.655125720202852,444.9394226
Antigua and Barbuda,2001,2.0,76497.0,2.614481613658052,497.0965881
Antigua and Barbuda,2002,0.0,77588.0,0.0,512.317688
Antigua and Barbuda,2003,1.0,78658.0,1.2713265020722626,569.6490479
Antigua and Barbuda,2004,2.0,79722.0,2.5087177943353147,547.8710938
Antigua and Barbuda,2005,0.0,80809.0,0.0,569.3041992
Antigua and Barbuda,2006,0.0,81973.0,0.0,598.2730713
Antigua and Barbuda,2007,1.0,83131.0,1.2029206914388135,675.7179565
Antigua and Barbuda,2008,0.0,84273.0,0.0,650.1051025
Antigua and Barbuda,2009,0.0,85405.0,0.0,575.2674561
Antigua and Barbuda,2012,0.0,88703.0,0.0,649.8314209
Antigua and Barbuda,2013,0.0,89779.0,0.0,660.6138306
Antigua and Barbuda,2014,0.0,90837.0,0.0,677.6029053
Antigua and Barbuda,2015,1.0,91889.0,1.0882695426003113,639.5827026
Argentina,2000,2774.0,33585533.0,8.259508640223158,705.1993408
Argentina,2001,3132.0,34010946.0,9.208800013971972,671.52948
Argentina,2002,3162.0,34407507.0,9.18985499298162,222.621994
Argentina,2003,3289.0,34785907.0,9.454978419852615,260.769989
Argentina,2004,3121.0,35162945.0,8.87582083923858,309.7401428
Argentina,2005,3058.0,35550617.0,8.601819765884795,390.0584412
Argentina,2006,3108.0,35918886.0,8.652829600561665,447.3611755
Argentina,2007,2946.0,36315492.0,8.112240362873235,551.75
Argentina,2008,3059.0,36733520.0,8.327543889069165,694.6824341
Argentina,2009,2884.0,37158001.0,7.761450891828115,742.8430176
Argentina,2010,2943.0,37578454.0,7.831615425158256,891.1377563
Argentina,2011,2912.0,38015739.0,7.659985249793513,1068.610596
Argentina,2012,3248.0,38441778.0,8.449140932034933,1168.065796
Argentina,2013,2987.0,38859125.0,7.686740244408489,1206.932861
Argentina,2014,3231.0,39276555.0,8.22628155651635,1089.5
Argentina,2015,3073.0,39699624.0,7.740627467907505,1305.39502
Armenia,2000,61.0,3606500.0,1.6913905448495776,26.12911606
Armenia,2001,60.0,3610516.0,1.6618123282101507,32.25967407
Armenia,2002,74.0,3014844.0,2.45452169332808,59.6339798
Armenia,2003,59.0,3024366.0,1.9508220896544926,66.78081512
Armenia,2006,78.0,2764396.0,2.821592854279923,126.2447052
Armenia,2007,71.0,2735313.0,2.5956810061590763,172.5760803
Armenia,2008,63.0,3045391.0,2.0686998812303576,266.2564392
Armenia,2009,53.0,2689695.0,1.9704836421973495,252.7925262
Armenia,2010,73.0,2676225.0,2.7277228185223588,297.2298889
Armenia,2011,67.0,2670366.0,2.5090193628888326,330.6855774
Armenia,2012,79.0,2814300.0,2.8070923497850266,336.5903625
Armenia,2013,67.0,2810664.0,2.3837783527308853,396.7911072
Armenia,2014,58.0,2803029.0,2.069190151082989,406.5928955
Armenia,2015,74.0,2795335.0,2.6472676799024093,366.0492249
Armenia,2016,67.0,2784119.0,2.406506331087141,358.8421021
Australia,2000,2391.0,17874410.0,13.376665299721779,1632.427612
Australia,2001,2458.0,18130883.0,13.556978995452125,1558.187378
Australia,2002,2319.0,18370058.0,12.623803365237059,1763.740723
Australia,2003,2156.0,18608029.0,11.586396388354727,2240.952148
Australia,2004,2114.0,18854551.0,11.212147136253735,2757.631836
Australia,2006,2117.0,19109246.0,11.078406756603584,3177.460693
Australia,2007,2229.0,19734430.0,11.294980397204275,3794.251709
Australia,2008,2341.0,20120312.0,11.635008443209028,4088.778076
Australia,2009,2337.0,20529317.0,11.383720169550694,3997.537109
Australia,2010,2420.0,20847547.0,11.608080317554865,4952.777344
Australia,2011,2392.0,20881910.0,11.454890860079372,5876.865723
Australia,2012,2580.0,21238909.0,12.14751661679044,6047.057617
Australia,2013,2608.0,21600180.0,12.073973457628593,5838.413574
Australia,2014,2891.0,21927587.0,13.184305231578831,5637.566895
Australia,2015,3027.0,22240785.0,13.610131117224505,4887.800781
Austria,2000,1588.0,7592073.0,20.91655335769296,2263.490479
Austria,2001,1489.0,7634560.0,19.503416044932518,2280.520508
Austria,2002,1553.0,7683162.0,20.21303208236401,2486.128418
Austria,2003,1456.0,7722033.0,18.85513827770485,3084.311279
Austria,2004,1422.0,7773105.0,18.29384782528989,3588.209717
Austria,2005,1399.0,7827461.0,17.872973113503857,3708.921387
Austria,2006,1297.0,7869269.0,16.481835860484626,3879.533203
Austria,2007,1285.0,7897272.0,16.271441581346068,4472.84668
Austria,2008,1267.0,7925258.0,15.98686124792404,5037.371582
Austria,2009,1278.0,7946894.0,16.081754708191653,4909.23291
Austria,2010,1264.0,7968421.0,15.862615692619656,4796.113281
Austria,2011,1288.0,7995146.0,16.10977460574203,5161.058105
Austria,2012,1276.0,8031276.0,15.887886308477007,4966.376465
Austria,2013,1291.0,8079615.0,15.978484123315283,5233.853516
Austria,2014,1314.0,8141165.0,16.14019615128793,5386.424805
Austria,2015,1251.0,8219386.0,15.220114981824675,4610.966797
Austria,2016,1204.0,8319211.0,14.472526300871559,4718.944336
Azerbaijan,2000,62.0,7415250.0,0.8361147634941505,25.27406311
Azerbaijan,2001,317.0,7518000.0,4.216546953977121,25.55867195
Azerbaijan,2002,92.0,7605700.0,1.2096191014633761,27.76484299
Azerbaijan,2003,129.0,7674400.0,1.680913165850099,51.74542618
Azerbaijan,2004,108.0,7738250.0,1.3956643944044196,73.91770935
Azerbaijan,2007,55.0,7921100.0,0.6943480072212191,176.6751099
Bahrain,2000,29.0,590594.0,4.910310636410123,485.6842651
Bahrain,2001,23.0,624083.0,3.685407229487103,484.9045715
Bahrain,2002,25.0,661010.0,3.7820910424955754,503.0286865
Bahrain,2003,34.0,702913.0,4.837013969011812,567.2358398
Bahrain,2004,42.0,751559.0,5.588383613262565,550.3571167
Bahrain,2005,42.0,819540.0,5.124826121970862,570.291687
Bahrain,2006,28.0,888543.0,3.151226220903209,591.3137817
Bahrain,2007,40.0,964770.0,4.146065901717508,692.9870605
Bahrain,2008,43.0,1024110.0,4.1987677104998475,757.770813
Bahrain,2009,36.0,1092922.0,3.29392216461925,785.2914429
Bahrain,2010,19.0,1139160.0,1.6678956424031741,796.3171387
Bahrain,2011,18.0,1103462.0,1.6312297115804624,805.2404175
Bahrain,2012,19.0,1201778.0,1.580990831917376,971.1656494
Bahrain,2013,5.0,1214492.0,0.4116947662067762,1066.366455
Bahrain,2014,9.0,1213966.0,0.7413716693877752,1100.991455
Barbados,2000,10.0,251133.0,3.981953785444366,604.5227661
Barbados,2001,2.0,252406.0,0.7923741907878578,623.4923706
Barbados,2002,0.0,253353.0,0.0,670.696167
Barbados,2003,0.0,254122.0,0.0,787.9133301
Barbados,2004,3.0,254925.0,1.176816710797293,922.6547852
