Country,Count,Mean_Health_Expenditure,Median_Health_Expenditure,SD_Health_Expenditure,Var_Health_Expenditure,Suicide_Rate_N,Mean_Suicide_Rate,Median_Suicide_Rate,SD_Suicide_Rate,Var_Suicide_Rate
Argentina,10.0,916.6278656500001,979.8741761499999,295.348988599853,87231.02506695608,10.0,8.044845562015123,7.971927894015746,0.35670777306854157,0.12724043536751817
Armenia,10.0,295.18088073,313.95773314999997,92.46253828390826,8549.3209859032,10.0,2.460052809877921,2.5523501845239545,0.32146600192610264,0.10334039039435304
Australia,10.0,4829.8509521,4920.2890625,1017.1146217800173,1034522.1538387076,10.0,11.94710133674242,11.621544380381946,0.8369589834353648,0.7005003399531592
Austria,10.0,4845.3777344,4937.8046875,438.1640731405309,191987.7549911005,10.0,16.0020965261213,16.034307978057846,0.3307385272385543,0.10938797339992791
Belgium,10.0,4445.5433348,4553.2475585,454.60523311824346,206665.91797849248,10.0,19.03191725352914,19.411835804336008,0.9312760825493732,0.867275141928507
Belize,10.0,246.69039308,249.91503905000002,28.187578108148823,794.5395596029907,10.0,6.092897830166432,5.494326608446446,2.391001809739798,5.71688965417899
Brazil,10.0,813.39937737,833.9584961,186.0419031663754,34611.589733766996,10.0,5.356623098542697,5.276348864814896,0.28269136106406184,0.07991440562025177
Brunei Darussalam,10.0,783.0902709899999,792.0030823,74.30608154947602,5521.39375523738,10.0,1.7942872362361495,1.5714983513621568,0.8120688282593688,0.6594557818305441
Chile,10.0,912.00156866,933.5508728,229.24828696101218,52554.777074558595,10.0,12.095449251761561,12.015740818520385,1.0825983598164965,1.1720192086773684
Colombia,10.0,434.25589599000006,442.68267820000005,115.55947718597301,13353.992767495418,10.0,5.132313220338931,5.129772807831521,0.2973322857637879,0.08840648815751882
Croatia,10.0,1018.7149901899999,1035.5028075,160.13230671480233,25642.35565380353,10.0,18.246613883742757,18.46303391322714,0.7695466803146496,0.5922020931832975
Cuba,10.0,667.0187317000001,641.20611575,160.95372655971823,25906.102093460548,10.0,13.573294931051606,13.8367955220157,0.7016096587275565,0.49225611321979834
